                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 0.7901,                0.43495,                0.95315,                0.96892,                0.95678,                0.98114,                0.80297,                0.70666,                 0.3374,                0.96062,              0.0087872,              0.0087872,              0.0087872
                     52,                0.79127,                0.43692,                0.95417,                0.97029,                0.95585,                0.98064,                0.80112,                 0.7075,                0.33978,                0.96341,              0.0087625,              0.0087625,              0.0087625
                     53,                0.78681,                0.43321,                0.95276,                0.97767,                0.95322,                0.98143,                0.80391,                0.71154,                0.33556,                0.96342,              0.0087378,              0.0087378,              0.0087378
                     54,                0.78179,                0.43071,                0.94924,                0.97586,                 0.9536,                0.98106,                0.80357,                0.70806,                0.33548,                0.95794,               0.008713,               0.008713,               0.008713
                     55,                0.77916,                0.42974,                0.94636,                0.97329,                0.95909,                0.98198,                0.80605,                0.69888,                0.33217,                0.95556,              0.0086882,              0.0086882,              0.0086882
                     56,                0.78233,                0.42895,                0.94915,                 0.9784,                0.95353,                0.98178,                0.80844,                0.69391,                0.32964,                0.95512,              0.0086635,              0.0086635,              0.0086635
                     57,                0.77573,                0.42692,                 0.9474,                0.97663,                0.95822,                0.98099,                0.80794,                0.69622,                0.32801,                0.95837,              0.0086388,              0.0086388,              0.0086388
                     58,                0.77756,                0.42528,                0.94814,                0.97788,                0.95647,                0.98137,                0.80804,                0.69367,                 0.3279,                0.95845,               0.008614,               0.008614,               0.008614
                     59,                0.76683,                 0.4231,                0.94286,                0.97805,                  0.956,                0.98189,                0.81343,                0.68753,                0.32517,                0.95709,              0.0085893,              0.0085893,              0.0085893
                     60,                0.76984,                0.42166,                0.94521,                0.97412,                0.95953,                0.98148,                0.81155,                0.69081,                0.32455,                0.95773,              0.0085645,              0.0085645,              0.0085645
                     61,                0.76975,                0.42434,                 0.9466,                0.96814,                0.96066,                0.98111,                0.81135,                0.68276,                0.32395,                0.95158,              0.0085398,              0.0085398,              0.0085398
                     62,                0.77347,                 0.4237,                0.94821,                 0.9714,                0.95822,                0.98223,                0.81411,                0.67267,                 0.3192,                0.95172,               0.008515,               0.008515,               0.008515
                     63,                0.75997,                0.41651,                0.94253,                0.97456,                0.95796,                0.98254,                0.81401,                0.67714,                0.31966,                0.95327,              0.0084903,              0.0084903,              0.0084903
                     64,                0.76696,                0.42045,                0.94206,                0.97488,                0.96098,                 0.9826,                0.81619,                0.67324,                0.31792,                0.95135,              0.0084655,              0.0084655,              0.0084655
                     65,                0.76229,                0.41585,                0.94415,                0.97696,                0.95898,                0.98292,                0.81928,                0.67029,                 0.3166,                0.95041,              0.0084408,              0.0084408,              0.0084408
                     66,                 0.7546,                0.41233,                0.94181,                0.97554,                0.96182,                0.98368,                0.82006,                0.66913,                0.31631,                0.94967,               0.008416,               0.008416,               0.008416
                     67,                0.75656,                0.41445,                0.93944,                0.97599,                0.96166,                0.98337,                0.82022,                0.66395,                0.31392,                 0.9463,              0.0083913,              0.0083913,              0.0083913
                     68,                0.75757,                0.41403,                0.94251,                0.97712,                0.96058,                0.98336,                0.82064,                0.66308,                 0.3141,                0.94624,              0.0083665,              0.0083665,              0.0083665
                     69,                0.74998,                0.41043,                0.93894,                0.97879,                0.96091,                0.98267,                0.82209,                0.66518,                0.31346,                0.94709,              0.0083418,              0.0083418,              0.0083418
                     70,                0.75718,                0.41266,                0.94127,                0.97875,                0.95957,                0.98244,                0.82284,                0.66311,                 0.3109,                0.94873,               0.008317,               0.008317,               0.008317
                     71,                0.75585,                  0.414,                0.94021,                0.97668,                 0.9628,                0.98295,                0.82385,                0.66001,                0.30935,                0.94824,              0.0082922,              0.0082922,              0.0082922
                     72,                0.75232,                0.41048,                0.93754,                0.97546,                 0.9628,                0.98289,                0.82327,                0.65972,                0.30932,                0.94829,              0.0082675,              0.0082675,              0.0082675
                     73,                0.74797,                0.40761,                0.93713,                0.97751,                0.96248,                0.98285,                0.82319,                 0.6596,                0.30848,                0.94711,              0.0082428,              0.0082428,              0.0082428
                     74,                0.74983,                0.40854,                0.93848,                0.97691,                0.96154,                 0.9825,                0.82483,                0.65628,                0.30674,                0.94603,               0.008218,               0.008218,               0.008218
                     75,                 0.7456,                0.40672,                0.93591,                0.97399,                0.96407,                0.98275,                0.82341,                0.65852,                0.30599,                0.94668,              0.0081932,              0.0081932,              0.0081932
                     76,                0.74732,                0.40755,                 0.9371,                 0.9746,                0.96292,                0.98252,                0.82391,                0.65592,                 0.3055,                0.94667,              0.0081685,              0.0081685,              0.0081685
                     77,                0.74078,                0.40334,                 0.9346,                0.97701,                0.96431,                0.98346,                0.82469,                0.65331,                0.30425,                 0.9449,              0.0081437,              0.0081437,              0.0081437
                     78,                0.74438,                0.40642,                0.93864,                 0.9759,                0.96446,                0.98338,                0.82598,                0.65236,                0.30347,                0.94476,               0.008119,               0.008119,               0.008119
                     79,                0.73548,                0.40091,                0.93243,                0.97822,                0.96408,                0.98378,                0.82675,                 0.6513,                0.30488,                0.94401,              0.0080942,              0.0080942,              0.0080942
                     80,                 0.7362,                0.40294,                0.93466,                0.97721,                0.96451,                0.98411,                0.82696,                0.65098,                0.30389,                0.94427,              0.0080695,              0.0080695,              0.0080695
                     81,                0.74893,                0.40504,                0.93648,                0.97703,                0.96289,                0.98415,                0.82716,                0.64842,                0.30384,                0.94336,              0.0080447,              0.0080447,              0.0080447
                     82,                0.73788,                0.40183,                0.93333,                 0.9765,                0.96381,                0.98378,                0.82842,                 0.6473,                0.30307,                0.94201,                0.00802,                0.00802,                0.00802
                     83,                0.73585,                0.40078,                0.93349,                0.97932,                0.96187,                0.98426,                0.83034,                0.64588,                0.30163,                0.94135,              0.0079953,              0.0079953,              0.0079953
                     84,                0.73617,                0.40296,                0.93203,                0.97827,                0.96227,                0.98417,                 0.8308,                0.64401,                0.30102,                0.93975,              0.0079705,              0.0079705,              0.0079705
